title,brand_name,item_type,condition,price,item_subtype,department,gender,age_group,size,size_type,color_primary,color_secondary,material_primary,material_secondary,pattern,closure,fit,sleeve_length,neckline,style,occasion,season,sport,model_name,product_line,style_code,has_box,condition_detail,release_year,original_price,initial_price,initial_price_catalog_item
Women's Cutwork Mini Shift Dress - Universal Thread Olive Green L Opens in a new window or tab,Universal Thread,dress,new,11.99,mini shift dress,dresses,women,adult,L,,Olive Green,,,,cutwork,,,,,,,,,,,,,Brand New,,29.99,248.0,Maxi Dress
New Listing Women's Cutwork Mini Shift Dress - Universal Thread Black S Opens in a new window or tab,Universal Thread,dress,new,11.99,mini shift dress,dresses,women,,S,,Black,,,,Cutwork,,,,,,,,,,,,,Brand New,,29.99,248.0,Maxi Dress
Women's Cutwork Mini Shift Dress - Universal Thread Olive Green S Opens in a new window or tab,Universal Thread,dress,new,11.99,mini shift dress,dresses,women,adult,S,,Olive Green,,,,Cutwork,,,,,,,,,,,,,Brand New,,29.99,248.0,Maxi Dress
NEW NWT SCARLET DARKNESS Renaissance Off Shoulder Mini Dress Green Small Opens in a new window or tab,Renaissance,dress,new,40.0,mini dress,dresses,women,,Small,,Green,,,,,,,,Off Shoulder,Off Shoulder,,,,SCARLET DARKNESS,,,,Brand New,,69.99,248.0,Maxi Dress
Free Assembly NWT Womens Navy Blue Cotton Utility Belted Shirt Dress Nautical S Opens in a new window or tab,Free Assembly,dress,new,36.0,shirt dress,dresses,women,adult,S,,Navy Blue,,Cotton,,Nautical,,,,,,,,,,,,,Brand New,,49.99,150.0,Shirt Dress
"ZIUMUDY Long Sleeve Lace See-Through Maternity Gown for Photography, White, Smal Opens in a new window or tab",ZIUMUDY,dress,new,47.03,maternity gown,dresses,women,,Small,,White,,Lace,,See-Through,,,Long,,Long Sleeve,Photography,,,,,,,Brand New,,69.99,,Maxi Dress
NWOT Victorias Secret Sz M Red Sheer Lace Sexy Night Dress Lingerie Valentine Opens in a new window or tab,Victoria's Secret,dress,used,19.99,night dress,dresses,women,,M,,red,,lace,,,,,,,sexy,valentine,,,,,,,New (Other),,49.99,248.0,Maxi Dress
Maya Brooke Women's Dress With Jacket Size 18w Opens in a new window or tab,Maya Brooke,dress,new,40.0,,dresses,women,adult,18w,,,,,,,,,,,,,,,,,,,,,69.99,248.0,Maxi Dress
Cocker Spaniel Dog Socks Fun Novelty Dress Casual SOX Puppy Pet Foozys 2 Pair Opens in a new window or tab,unknown,socks,new,11.99,novelty socks,accessories,women,,9-11,,,,,,novelty,,,,,,casual,,,,,,,,,9.99,,Casual Dress
Lauren Ralph Lauren Women's Size 12 Garnet Sequin Sheath Dress $224MSRP Opens in a new window or tab,Lauren Ralph Lauren,dress,new,85.88,sheath dress,dresses,women,adult,12,,Garnet,,,,Sequin,,,,,,,,,,,,,Brand New,,224.0,248.0,Maxi Dress
